"","date","state","county","city","college","cases","mergeCS","countyCovidProp","plan","enrollment2018","type","adjCases"
"178","oct8","Colorado","Weld","Greeley","University of Northern Colorado",48,"WeldColorado",0.0154826621303453,"Hybrid","13437","Public, 4-year",0.00357222594329091
"180","oct8","Connecticut","New Haven","New Haven","Albertus Magnus College",1,"New HavenConnecticut",0.0172551965061415,"Primarily in person","1456","Private nonprofit, 4-year",0.000686813186813187
"181","oct8","Connecticut","Hartford","New Britain","Central Connecticut State University",87,"HartfordConnecticut",0.0172038307989055,"Primarily online","11822","Public, 4-year",0.00735916088648283
"182","oct8","Connecticut","New London","New London","Connecticut College",11,"New LondonConnecticut",0.00914760601193035,"Other","1844","Private nonprofit, 4-year",0.00596529284164859
"183","oct8","Connecticut","Windham","Windham","Eastern Connecticut State University",19,"WindhamConnecticut",0.00923943758455926,"Primarily in person","5208","Public, 4-year",0.00364823348694316
"184","oct8","Connecticut","Fairfield","Fairfield","Fairfield University",119,"FairfieldConnecticut",0.0218502075621308,"Primarily in person","5273","Private nonprofit, 4-year",0.0225677982173336
"187","oct8","Connecticut","New Haven","Hamden","Quinnipiac University",11,"New HavenConnecticut",0.0172551965061415,"Primarily in person","10207","Private nonprofit, 4-year",0.00107769178015088
"188","oct8","Connecticut","Fairfield","Fairfield","Sacred Heart University",283,"FairfieldConnecticut",0.0218502075621308,"Primarily in person","8958","Private nonprofit, 4-year",0.031591873185979
"189","oct8","Connecticut","New Haven","New Haven","Southern Connecticut State University",20,"New HavenConnecticut",0.0172551965061415,"Primarily online","10050","Public, 4-year",0.00199004975124378
"193","oct8","Connecticut","Fairfield","Bridgeport","University of Bridgeport",6,"FairfieldConnecticut",0.0218502075621308,"Primarily in person","5485","Private nonprofit, 4-year",0.00109389243391067
"194","oct8","Connecticut","Tolland","Storrs","University of Connecticut",300,"TollandConnecticut",0.00984600686035788,"Primarily online","27412","Public, 4-year",0.0109441120677076
"195","oct8","Connecticut","Hartford","West Hartford","University of Hartford",41,"HartfordConnecticut",0.0172038307989055,"Primarily in person","6770","Private nonprofit, 4-year",0.00605612998522895
"196","oct8","Connecticut","New Haven","West Haven","University of New Haven",5,"New HavenConnecticut",0.0172551965061415,"Primarily in person","6867","Private nonprofit, 4-year",0.00072811999417504
"197","oct8","Connecticut","Hartford","West Hartford","University of Saint Joseph",2,"HartfordConnecticut",0.0172038307989055,"Hybrid","2465","Private nonprofit, 4-year",0.000811359026369168
"199","oct8","Connecticut","Fairfield","Danbury","Western Connecticut State University",23,"FairfieldConnecticut",0.0218502075621308,"Primarily online","5642","Public, 4-year",0.00407656859269763
"200","oct8","Connecticut","New Haven","New Haven","Yale University",175,"New HavenConnecticut",0.0172551965061415,"Primarily online","13433","Private nonprofit, 4-year",0.0130276185513288
"201","oct8","Delaware","Kent","Dover","Delaware State University",54,"KentDelaware",0.0175787948181828,"Primarily online","4586","Public, 4-year",0.0117749672917575
"206","oct8","Delaware","New Castle","Newark","University of Delaware",388,"New CastleDelaware",0.0200732703001147,"Primarily online","24120","Public, 4-year",0.0160862354892206
"209","oct8","Florida","Orange","Orlando","AdventHealth University",1,"OrangeFlorida",0.0297161294396937,"Primarily online","1705","Private nonprofit, 4-year",0.000586510263929619
"211","oct8","Florida","Miami-Dade","Miami","Barry University",1,"Miami-DadeFlorida",0.0637772641280264,"Hybrid","7186","Private nonprofit, 4-year",0.000139159476760367
"212","oct8","Florida","Volusia","Daytona Beach","Bethune-Cookman University",1,"VolusiaFlorida",0.0203060272843603,"Primarily online","3773","Private nonprofit, 4-year",0.000265041081367612
"213","oct8","Florida","Broward","Fort Lauderdale","Broward College",49,"BrowardFlorida",0.0401346184768571,"Primarily online","40784","Public, 4-year",0.0012014515496273
"214","oct8","Florida","Jackson","Marianna","Chipola College",3,"JacksonFlorida",0.0625673288231999,"Primarily in person","2081","Public, 4-year",0.00144161460836136
"216","oct8","Florida","Marion","Ocala","College of Central Florida",35,"MarionFlorida",0.0274195180795396,"Primarily online","6820","Public, 4-year",0.00513196480938416
"217","oct8","Florida","Volusia","Daytona Beach","Daytona State College",53,"VolusiaFlorida",0.0203060272843603,"Primarily online","13737","Public, 4-year",0.00385819320084443
"218","oct8","Florida","Brevard","Cocoa ","Eastern Florida State College",11,"BrevardFlorida",0.0158952191407146,"Primarily online","15820","Public, 4-year",0.000695322376738306
"219","oct8","Florida","Pinellas","Saint Petersburg","Eckerd College",3,"PinellasFlorida",0.0232790698628507,"Primarily in person","2006","Private nonprofit, 4-year",0.00149551345962114
"224","oct8","Florida","Palm Beach","Boca Raton","Florida Atlantic University",180,"Palm BeachFlorida",0.0316561662780521,"Primarily online","29772","Public, 4-year",0.0060459492140266
"226","oct8","Florida","Hillsborough","Temple Terrace","Florida College",30,"HillsboroughFlorida",0.0294191178069088,"Primarily in person","508","Private nonprofit, 4-year",0.0590551181102362
"228","oct8","Florida","Lee","Fort Myers","Florida Gulf Coast University",175,"LeeFlorida",0.0271783351955742,"Primarily in person","15031","Public, 4-year",0.0116426052824163
"230","oct8","Florida","Brevard","Melbourne","Florida Institute of Technology",25,"BrevardFlorida",0.0158952191407146,"Primarily in person","6271","Private nonprofit, 4-year",0.00398660500717589
"231","oct8","Florida","Miami-Dade","Miami","Florida International University",153,"Miami-DadeFlorida",0.0637772641280264,"Primarily online","57942","Public, 4-year",0.00264057160608885
"232","oct8","Florida","Miami-Dade","Miami Gardens","Florida Memorial University",2,"Miami-DadeFlorida",0.0637772641280264,"Hybrid","1189","Private nonprofit, 4-year",0.00168208578637511
"234","oct8","Florida","Polk","Lakeland","Florida Polytechnic University",10,"PolkFlorida",0.0285425724050294,"Primarily in person","1425","Public, 4-year",0.00701754385964912
"235","oct8","Florida","Lee","Fort Myers","Florida SouthWestern State College",9,"LeeFlorida",0.0271783351955742,"Hybrid","16556","Public, 4-year",0.000543609567528388
"236","oct8","Florida","Polk","Lakeland","Florida Southern College",20,"PolkFlorida",0.0285425724050294,"Fully online","3154","Private nonprofit, 4-year",0.00634115409004439
"237","oct8","Florida","Duval","Jacksonville","Florida State College, Jacksonville",23,"DuvalFlorida",0.0327672525854733,"Primarily online","23413","Public, 4-year",0.000982360227224192
"238","oct8","Florida","Leon","Tallahassee","Florida State University",1656,"LeonFlorida",0.0373728634589314,"Primarily online","41005","Public, 4-year",0.0403853188635532
"240","oct8","Florida","Bay","Panama City","Gulf Coast State College",39,"BayFlorida",0.0356429409576143,"Hybrid","5644","Public, 4-year",0.00690999291282778
"244","oct8","Florida","Hillsborough","Tampa","Hillsborough Community College",12,"HillsboroughFlorida",0.0294191178069088,"Primarily online","23183","Public, 2-year",0.000517620670318768
"245","oct8","Florida","St. Lucie","Fort Pierce","Indian River State College",29,"St. LucieFlorida",0.0251875588263067,"Hybrid","16686","Public, 4-year",0.00173798393863119
"246","oct8","Florida","Duval","Jacksonville","Jacksonville University",35,"DuvalFlorida",0.0327672525854733,"Primarily in person","4213","Private nonprofit, 4-year",0.00830761927367672
"252","oct8","Florida","Lake","Leesburg","Lake-Sumter State College",0,"LakeFlorida",0.0211648570759265,"Primarily online","4812","Public, 4-year",0
"254","oct8","Florida","Miami-Dade","Miami","Miami Dade College",2,"Miami-DadeFlorida",0.0637772641280264,"Other","54973","Public, 4-year",3.63814963709457e-05
"255","oct8","Florida","Sarasota","Sarasota","New College of Florida",2,"SarasotaFlorida",0.019497765953032,"Primarily online","837","Public, 4-year",0.002389486260454
"257","oct8","Florida","Okaloosa","Niceville","Northwest Florida State College",15,"OkaloosaFlorida",0.0248222911862123,"Primarily in person","5497","Public, 4-year",0.00272876114244133
"258","oct8","Florida","Broward","Fort Lauderdale","Nova Southeastern University",1,"BrowardFlorida",0.0401346184768571,"Hybrid","20435","Private nonprofit, 4-year",4.89356496207487e-05
"259","oct8","Florida","Palm Beach","West Palm Beach","Palm Beach Atlantic University",35,"Palm BeachFlorida",0.0316561662780521,"Primarily in person","3705","Private nonprofit, 4-year",0.00944669365721997
