date,state,county,city,college,cases,countyCovidProp,plan,enrollment2018,type,adjCases
8-Oct,Florida,Sarasota,Sarasota,New College of Florida,2,0.019497766,Primarily online,837,"Public, 4-year",0.002389486
8-Oct,Florida,Okaloosa,Niceville,Northwest Florida State College,15,0.024822291,Primarily in person,5497,"Public, 4-year",0.002728761
8-Oct,Florida,Broward,Fort Lauderdale,Nova Southeastern University,1,0.040134618,Hybrid,20435,"Private nonprofit, 4-year",4.89E-05
8-Oct,Florida,Palm Beach,West Palm Beach,Palm Beach Atlantic University,35,0.031656166,Primarily in person,3705,"Private nonprofit, 4-year",0.009446694
8-Oct,Florida,Palm Beach,Lake Worth,Palm Beach State College,39,0.031656166,Primarily online,31816,"Public, 4-year",0.001225798
8-Oct,Florida,Escambia,Pensacola,Pensacola State College,32,0.039429372,Primarily online,9773,"Public, 4-year",0.003274327
8-Oct,Florida,Polk,Winter Haven,Polk State College,31,0.028542572,Primarily online,10591,"Public, 4-year",0.002927014
8-Oct,Florida,Orange,Winter Park,Rollins College,9,0.029716129,Hybrid,3127,"Private nonprofit, 4-year",0.002878158
8-Oct,Florida,Pasco,Saint Leo,Saint Leo University,25,0.017274216,Hybrid,11808,"Private nonprofit, 4-year",0.002117209
8-Oct,Florida,Alachua,Gainesville,Santa Fe College,25,0.032121259,Hybrid,14324,"Public, 4-year",0.001745323
8-Oct,Florida,Seminole,Sanford,Seminole State College of Florida,10,0.019729731,Primarily online,18104,"Public, 4-year",0.000552364
8-Oct,Florida,Highlands,Avon Park,South Florida State College,22,0.021511754,Other,2910,"Public, 4-year",0.007560137
8-Oct,Florida,Putnam,Palatka,St. Johns River State College,15,0.029052213,Hybrid,7503,"Public, 4-year",0.0019992
8-Oct,Florida,Pinellas,St. Petersburg,St. Petersburg College,28,0.02327907,Primarily online,29183,"Public, 4-year",0.000959463
8-Oct,Florida,Miami-Dade,Miami Gardens,St. Thomas University,3,0.063777264,Primarily in person,4227,"Private nonprofit, 4-year",0.000709723
8-Oct,Florida,Manatee,Bradenton,"State College of Florida, Manatee-Sarasota",34,0.029455454,Hybrid,10229,"Public, 4-year",0.003323883
8-Oct,Florida,Volusia,DeLand,Stetson University,98,0.020306027,Hybrid,4341,"Private nonprofit, 4-year",0.022575443
8-Oct,Florida,Leon,Tallahassee,Tallahassee Community College,157,0.037372863,Hybrid,11914,"Public, 4-year",0.013177774
8-Oct,Florida,Orange,Orlando,University of Central Florida,1210,0.029716129,Primarily in person,68475,"Public, 4-year",0.017670683
8-Oct,Florida,Alachua,Gainesville,University of Florida,2908,0.032121259,Primarily online,52218,"Public, 4-year",0.055689609
8-Oct,Florida,Miami-Dade,Miami,University of Miami,479,0.063777264,Primarily in person,17331,"Private nonprofit, 4-year",0.027638336
8-Oct,Florida,Duval,Jacksonville,University of North Florida,114,0.032767253,Hybrid,16776,"Public, 4-year",0.006795422
8-Oct,Florida,Hillsborough,Tampa,University of South Florida,550,0.029419118,Hybrid,43846,"Public, 4-year",0.012543904
8-Oct,Florida,Pinellas,St. Petersburg,"University of South Florida, St. Petersburg",16,0.02327907,Hybrid,4727,"Public, 4-year",0.003384811
8-Oct,Florida,Hillsborough,Tampa,University of Tampa,315,0.029419118,Primarily in person,9333,"Private nonprofit, 4-year",0.033751205
8-Oct,Florida,Escambia,Pensacola,University of West Florida,131,0.039429372,Hybrid,12847,"Public, 4-year",0.010196933
8-Oct,Florida,Orange,Orlando,Valencia College,28,0.029716129,Primarily online,46521,"Public, 4-year",0.000601879
8-Oct,Florida,Polk,Babson Park,Webber International University,1,0.028542572,Fully in person,694,"Private nonprofit, 4-year",0.001440922
8-Oct,Georgia,Tift,Tifton,Abraham Baldwin Agricultural College,35,0.045246531,Primarily online,4291,"Public, 2-year",0.008156607
8-Oct,Georgia,DeKalb,Decatur,Agnes Scott College,1,0.025535462,Fully online,1030,"Private nonprofit, 4-year",0.000970874
8-Oct,Georgia,Dougherty,Albany,Albany State University,63,0.036234026,Hybrid,6371,"Public, 4-year",0.009888558
8-Oct,Georgia,Fulton,Atlanta,Atlanta Metropolitan State College,0,0.026685791,Fully in person,2187,"Public, 4-year",0
8-Oct,Georgia,Richmond,Augusta,Augusta University,209,0.0361795,Hybrid,8458,"Public, 4-year",0.024710333
8-Oct,Georgia,Floyd,Mount Berry,Berry College,178,0.03408191,Primarily in person,2014,"Private nonprofit, 4-year",0.088381331
8-Oct,Georgia,Hall,Gainesville,Brenau University,45,0.047607867,Primarily in person,2842,"Private nonprofit, 4-year",0.01583392
8-Oct,Georgia,DeKalb,Atlanta,Clark Atlanta University,0,0.025535462,Fully online,3911,"Private nonprofit, 4-year",0
8-Oct,Georgia,Clayton,Morrow,Clayton State University,70,0.02478991,Primarily in person,7038,"Public, 4-year",0.009946007
8-Oct,Georgia,Glynn,Brunswick,College of Coastal Georgia,58,0.041398959,Fully in person,3546,"Public, 4-year",0.016356458
8-Oct,Georgia,Muscogee,Columbus,Columbus State University,62,0.031348171,Primarily in person,8076,"Public, 4-year",0.007677068
8-Oct,Georgia,Walker,Lookout Mountain,Covenant College,15,0.023666519,Primarily in person,1046,"Private nonprofit, 4-year",0.014340344
8-Oct,Georgia,Whitfield,Dalton,Dalton State College,32,0.045590091,Primarily in person,5118,"Public, 4-year",0.006252442
8-Oct,Georgia,Emanuel,Swainsboro,East Georgia State College,45,0.0494127,Primarily in person,2942,"Public, 4-year",0.015295717
8-Oct,Georgia,Fulton,Atlanta,Emory University,178,0.026685791,Primarily online,14458,"Private nonprofit, 4-year",0.012311523
8-Oct,Georgia,Peach,Fort Valley,Fort Valley State University,39,0.024976403,Primarily in person,2776,"Public, 4-year",0.014048991
