"","date","state","county","city","college","cases","mergeCS","countyCovidProp","plan","enrollment2018","type"
"4","oct8","Alabama","Lee","Auburn","Auburn University",1982,"LeeAlabama","0.0377897436520767","Hybrid","30440","Public, 4-year"
"5","oct8","Alabama","Montgomery","Montgomery","Auburn University, Montgomery",0,"MontgomeryAlabama","0.0401040240897892","Hybrid","5211","Public, 4-year"
"6","oct8","Alabama","Walker","Jasper","Bevill State Community College",4,"WalkerAlabama","0.0389162639127218","Primarily online","3745","Public, 2-year"
"7","oct8","Alabama","Jefferson","Birmingham","Birmingham-Southern College",125,"JeffersonAlabama","0.0317929827065489","Primarily in person","1268","Private nonprofit, 4-year"
"8","oct8","Alabama","Limestone","Tanner","Calhoun Community College",28,"LimestoneAlabama","0.0239397462467775","Primarily online","9736","Public, 2-year"
"9","oct8","Alabama","Tallapoosa","Alexander City","Central Alabama Community College",24,"TallapoosaAlabama","0.0299502068521317","Primarily online","1681","Public, 2-year"
"10","oct8","Alabama","Coffee","Enterprise","Enterprise State Community College",27,"CoffeeAlabama","0.0283902028963356","Primarily online","1705","Public, 2-year"
"11","oct8","Alabama","Etowah","Gadsden","Gadsden State Community College",32,"EtowahAlabama","0.0364336840458403","Hybrid","4736","Public, 2-year"
"13","oct8","Alabama","Calhoun","Jacksonville","Jacksonville State University",219,"CalhounAlabama","0.0329474935082083","Primarily online","8479","Public, 4-year"
"14","oct8","Alabama","Covington","Andalusia","Lurleen B. Wallace Community College",9,"CovingtonAlabama","0.0403519663148803","Primarily online","1784","Public, 2-year"
"15","oct8","Alabama","Perry","Marion","Marion Military Institute",3,"PerryAlabama","0.0611901826739886","Hybrid","394","Public, 2-year"
"17","oct8","Alabama","Jefferson","Birmingham","Samford University",327,"JeffersonAlabama","0.0317929827065489","Hybrid","5619","Private nonprofit, 4-year"
"18","oct8","Alabama","Marshall","Boaz","Snead State Community College",11,"MarshallAlabama","0.041994750656168","Hybrid","2280","Public, 2-year"
"19","oct8","Alabama","Randolph","Wadley","Southern Union State Community College",59,"RandolphAlabama","0.0315113106240648","Hybrid","4531","Public, 2-year"
"20","oct8","Alabama","Mobile","Mobile","Spring Hill College",104,"MobileAlabama","0.0334236828731154","Hybrid","1379","Private nonprofit, 4-year"
"21","oct8","Alabama","Pike","Troy","Troy University",160,"PikeAlabama","0.0376275895391677","Hybrid","16981","Public, 4-year"
"25","oct8","Alabama","Macon","Tuskeegee","Tuskegee University",62,"MaconAlabama","0.0277285809165375","Hybrid","3026","Private nonprofit, 4-year"
"27","oct8","Alabama","Jefferson","Birmingham","University of Alabama, Birmingham",1353,"JeffersonAlabama","0.0317929827065489","Primarily online","21923","Public, 4-year"
"29","oct8","Alabama","Shelby","Montevallo","University of Montevallo",87,"ShelbyAlabama","0.0297884263810163","Primarily in person","2612","Public, 4-year"
"30","oct8","Alabama","Lauderdale","Florence","University of North Alabama",259,"LauderdaleAlabama","0.0200800181173096","Hybrid","7488","Public, 4-year"
"31","oct8","Alabama","Mobile","Mobile","University of South Alabama",276,"MobileAlabama","0.0334236828731154","Primarily online","14834","Public, 4-year"
"38","oct8","Arizona","Maricopa","Tempe","Arizona State University",1821,"MaricopaArizona","0.0321803071020869","Hybrid","51585","Public, 4-year"
"39","oct8","Arizona","Yuma","Yuma","Arizona Western College",5,"YumaArizona","0.0602609139002839","Primarily online","7434","Public, 2-year"
"44","oct8","Arizona","Coconino","Flagstaff","Northern Arizona University",188,"CoconinoArizona","0.0302698709191781","Primarily online","31066","Public, 4-year"
"45","oct8","Arizona","Pima","Tucson","University of Arizona",2381,"PimaArizona","0.0249140868861115","Primarily online","44097","Public, 4-year"
"47","oct8","Arkansas","Pope","Russellville","Arkansas Tech University",199,"PopeArkansas","0.0356786115619928","Primarily in person","12101","Public, 4-year"
"48","oct8","Arkansas","White","Searcy","Harding University",127,"WhiteArkansas","0.0128630020443666","Hybrid","5121","Private nonprofit, 4-year"
"49","oct8","Arkansas","Clark","Arkadelphia","Henderson State University",88,"ClarkArkansas","0.0179659498207885","Primarily online","3961","Public, 4-year"
"50","oct8","Arkansas","Faulkner","Conway","Hendrix College",9,"FaulknerArkansas","0.0221813073876848","Fully online","1208","Private nonprofit, 4-year"
"51","oct8","Arkansas","Benton","Siloam Springs","John Brown University",30,"BentonArkansas","0.0250375258381965","Fully in person","2516","Private nonprofit, 4-year"
"52","oct8","Arkansas","Independence","Batesville","Lyon College",12,"IndependenceArkansas","0.0328089887640449","Fully online","655","Private nonprofit, 4-year"
"53","oct8","Arkansas","Garland","Hot Springs","National Park College",21,"GarlandArkansas","0.0206769565129898","Fully online","2017","Public, 2-year"
"54","oct8","Arkansas","Benton","Bentonville","NorthWest Arkansas Community College",4,"BentonArkansas","0.0250375258381965","Primarily online","7979","Public, 2-year"
"55","oct8","Arkansas","Clark","Arkadelphia","Ouachita Baptist University",116,"ClarkArkansas","0.0179659498207885","Primarily online","1660","Private nonprofit, 4-year"
"56","oct8","Arkansas","Columbia","Magnolia","Southern Arkansas University",113,"ColumbiaArkansas","0.0248966193460374","Undetermined","4472","Public, 4-year"
"59","oct8","Arkansas","Pulaski","Little Rock","University of Arkansas, Little Rock",114,"PulaskiArkansas","0.025551719650635","Hybrid","10515","Public, 4-year"
"60","oct8","Arkansas","Drew","Monticello","University of Arkansas, Monticello",27,"DrewArkansas","0.0201986936714419","Hybrid","3111","Public, 4-year"
"61","oct8","Arkansas","Jefferson","Pine Bluff","University of Arkansas, Pine Bluff",139,"JeffersonArkansas","0.0540374715671016","Primarily online","2579","Public, 4-year"
"64","oct8","Arkansas","Conway","Conway","University of Central Arkansas",238,"ConwayArkansas","0.0143912501199271","Primarily online","11177","Public, 4-year"
"65","oct8","Arkansas","Johnson","Clarksville","University of the Ozarks",37,"JohnsonArkansas","0.0335239671909098","Hybrid","872","Private nonprofit, 4-year"
"67","oct8","California","Los Angeles","Lancaster","Antelope Valley College",9,"Los AngelesCalifornia","0.0276364222435322","Primarily online","14239","Public, 4-year"
"70","oct8","California","Los Angeles","La Mirada","Biola University",2,"Los AngelesCalifornia","0.0276364222435322","Primarily online","6109","Private nonprofit, 4-year"
"72","oct8","California","Los Angeles","Pasadena","California Institute of Technology",25,"Los AngelesCalifornia","0.0276364222435322","Fully online","2233","Private nonprofit, 4-year"
"73","oct8","California","Ventura","Thousand Oaks","California Lutheran University",6,"VenturaCalifornia","0.0156523712597783","Primarily online","4383","Private nonprofit, 4-year"
"74","oct8","California","San Luis Obispo","San Luis Obispo","California Polytechnic State University, San Luis Obispo",127,"San Luis ObispoCalifornia","0.0133481214082109","Primarily online","22013","Public, 4-year"
"75","oct8","California","Los Angeles","Pomona","California State Polytechnic University, Pomona",12,"Los AngelesCalifornia","0.0276364222435322","Fully online","26598","Public, 4-year"
"76","oct8","California","Solano","Vallejo","California State University Maritime Academy",3,"SolanoCalifornia","0.0148846290459138","Primarily online","1046","Public, 4-year"
"77","oct8","California","Kern","Bakersfield","California State University, Bakersfield",3,"KernCalifornia","0.0362962979420175","Primarily online","10816","Public, 4-year"
"79","oct8","California","Butte","Chico","California State University, Chico",195,"ButteCalifornia","0.0133448304180011","Fully online","17578","Public, 4-year"
"82","oct8","California","Orange","Fullerton","California State University, Fullerton",4,"OrangeCalifornia","0.0178392614900941","Fully online","40280","Public, 4-year"
"83","oct8","California","Los Angeles","Long Beach","California State University, Long Beach",30,"Los AngelesCalifornia","0.0276364222435322","Primarily online","37466","Public, 4-year"
"84","oct8","California","Los Angeles","Los Angeles","California State University, Los Angeles",83,"Los AngelesCalifornia","0.0276364222435322","Fully online","28036","Public, 4-year"
"86","oct8","California","Los Angeles","Los Angeles","California State University, Northridge",31,"Los AngelesCalifornia","0.0276364222435322","Primarily online","40212","Public, 4-year"
"87","oct8","California","Sacramento","Sacramento","California State University, Sacramento",32,"SacramentoCalifornia","0.015088997962705","Primarily online","31902","Public, 4-year"
"88","oct8","California","San Bernardino","San Bernardino","California State University, San Bernardino",4,"San BernardinoCalifornia","0.0260645800507778","Primarily online","20238","Public, 4-year"
"89","oct8","California","San Diego","San Marcos","California State University, San Marcos",20,"San DiegoCalifornia","0.0147492908130712","Primarily online","15972","Public, 4-year"
"91","oct8","California","Orange","Orange","Chapman University",9,"OrangeCalifornia","0.0178392614900941","Primarily online","9608","Private nonprofit, 4-year"
"94","oct8","California","Orange","Cypress","Cypress College",8,"OrangeCalifornia","0.0178392614900941","Fully online","15794","Public, 4-year"
"95","oct8","California","Marin","San Rafael","Dominican University of California",3,"MarinCalifornia","0.0263922480739957","Primarily online","1779","Private nonprofit, 4-year"
"96","oct8","California","Plumas","Quincy","Feather River College",0,"PlumasCalifornia","0.00260541287818366","Primarily online","2216","Public, 4-year"
"97","oct8","California","Santa Clara","Los Altos","Foothill College",0,"Santa ClaraCalifornia","0.0114407122538452","Primarily online","14732","Public, 4-year"
"100","oct8","California","Los Angeles","Claremont","Harvey Mudd College",5,"Los AngelesCalifornia","0.0276364222435322","Fully online","902","Private nonprofit, 4-year"
"101","oct8","California","Alameda","Oakland","Holy Names University",1,"AlamedaCalifornia","0.0130830016112926","Fully online","960","Private nonprofit, 4-year"
"102","oct8","California","Humboldt","Arcata","Humboldt State University",11,"HumboldtCalifornia","0.00388763481314271","Primarily online","7972","Public, 4-year"
"104","oct8","California","Los Angeles","Los Angeles","Loyola Marymount University",1,"Los AngelesCalifornia","0.0276364222435322","Primarily online","9838","Private nonprofit, 4-year"
"105","oct8","California","San Mateo","Atherton","Menlo College",3,"San MateoCalifornia","0.0134977360277495","Fully online","775","Private nonprofit, 4-year"
"106","oct8","California","Alameda","Oakland","Mills College",3,"AlamedaCalifornia","0.0130830016112926","Primarily online","1257","Private nonprofit, 4-year"
"110","oct8","California","San Mateo","Belmont","Notre Dame de Namur University",0,"San MateoCalifornia","0.0134977360277495","Fully online","1492","Private nonprofit, 4-year"
"111","oct8","California","Los Angeles","Los Angeles","Occidental College",5,"Los AngelesCalifornia","0.0276364222435322","Fully online","1930","Private nonprofit, 4-year"
"112","oct8","California","Los Angeles","Malibu","Pepperdine University",21,"Los AngelesCalifornia","0.0276364222435322","Fully online","7961","Private nonprofit, 4-year"
"113","oct8","California","Los Angeles","Claremont","Pitzer College",1,"Los AngelesCalifornia","0.0276364222435322","Fully online","1072","Private nonprofit, 4-year"
"114","oct8","California","San Diego","San Diego","Point Loma Nazarene University",8,"San DiegoCalifornia","0.0147492908130712","Hybrid","4592","Private nonprofit, 4-year"
"115","oct8","California","Los Angeles","Claremont","Pomona College",1,"Los AngelesCalifornia","0.0276364222435322","Fully online","1573","Private nonprofit, 4-year"
"116","oct8","California","Los Angeles","Whittier","Rio Hondo College",15,"Los AngelesCalifornia","0.0276364222435322","Fully online","19997","Public, 4-year"
"117","oct8","California","Contra Costa","Moraga","Saint Mary's College of California",9,"Contra CostaCalifornia","0.0150165665966784","Primarily online","3881","Private nonprofit, 4-year"
"118","oct8","California","San Diego","San Diego","San Diego Mesa College",21,"San DiegoCalifornia","0.0147492908130712","Primarily online","22284","Public, 4-year"
"119","oct8","California","San Diego","San Diego","San Diego Miramar College",4,"San DiegoCalifornia","0.0147492908130712","Primarily online","15893","Public, 2-year"
"121","oct8","California","San Francisco","San Francisco","San Francisco State University",6,"San FranciscoCalifornia","0.0130860564755901","Primarily online","29778","Public, 4-year"
"122","oct8","California","Santa Clara","San Jose","San Jose State University",50,"Santa ClaraCalifornia","0.0114407122538452","Primarily online","35400","Public, 4-year"
"123","oct8","California","Orange","Santa Ana","Santa Ana College",0,"OrangeCalifornia","0.0178392614900941","Primarily online","28425","Public, 4-year"
"124","oct8","California","Santa Clara","Santa Clara","Santa Clara University",22,"Santa ClaraCalifornia","0.0114407122538452","Primarily online","8642","Private nonprofit, 4-year"
"125","oct8","California","Los Angeles","Santa Monica","Santa Monica College",0,"Los AngelesCalifornia","0.0276364222435322","Fully online","28800","Public, 4-year"
"126","oct8","California","Los Angeles","Claremont","Scripps College",4,"Los AngelesCalifornia","0.0276364222435322","Fully online","1071","Private nonprofit, 4-year"
"127","oct8","California","Shasta","Redding","Shasta College",3,"ShastaCalifornia","0.0068969346956908","Hybrid","9105","Public, 4-year"
"128","oct8","California","San Mateo","San Bruno","Skyline College",0,"San MateoCalifornia","0.0134977360277495","Primarily online","9014","Public, 4-year"
"129","oct8","California","Solano","Fairfield","Solano Community College",0,"SolanoCalifornia","0.0148846290459138","Primarily online","9378","Public, 4-year"
"130","oct8","California","Sonoma","Ronhert Park","Sonoma State University",2,"SonomaCalifornia","0.0163512266960124","Primarily online","9459","Public, 4-year"
"132","oct8","California","Santa Clara","Stanford","Stanford University",137,"Santa ClaraCalifornia","0.0114407122538452","Primarily online","17381","Private nonprofit, 4-year"
"134","oct8","California","Alameda","Berkeley","University of California, Berkeley",220,"AlamedaCalifornia","0.0130830016112926","Primarily online","42501","Public, 4-year"
"135","oct8","California","Yolo","Davis","University of California, Davis",84,"YoloCalifornia","0.0131927437641723","Primarily online","38167","Public, 4-year"
"137","oct8","California","Orange","Irvine ","University of California, Irvine",120,"OrangeCalifornia","0.0178392614900941","Primarily online","36032","Public, 4-year"
"138","oct8","California","Los Angeles","Los Angeles","University of California, Los Angeles",199,"Los AngelesCalifornia","0.0276364222435322","Primarily online","44537","Public, 4-year"
"139","oct8","California","Merced","Merced","University of California, Merced",4,"MercedCalifornia","0.0328111495246327","Primarily online","8544","Public, 4-year"
"140","oct8","California","Riverside","Riverside","University of California, Riverside",68,"RiversideCalifornia","0.0247447325409039","Primarily online","23922","Public, 4-year"
"141","oct8","California","San Diego","San Diego","University of California, San Diego",332,"San DiegoCalifornia","0.0147492908130712","Primarily online","37887","Public, 4-year"
"143","oct8","California","Santa Barbara","Santa Barbara","University of California, Santa Barbara",10,"Santa BarbaraCalifornia","0.02096981180249","Primarily online","25976","Public, 4-year"
"144","oct8","California","Santa Cruz","Santa Cruz","University of California, Santa Cruz",19,"Santa CruzCalifornia","0.00927847503596095","Primarily online","19700","Public, 4-year"
"145","oct8","California","Los Angeles","La Verne","University of La Verne",0,"Los AngelesCalifornia","0.0276364222435322","Primarily in person","8064","Private nonprofit, 4-year"
"146","oct8","California","San Bernardino","Redlands","University of Redlands",6,"San BernardinoCalifornia","0.0260645800507778","Fully online","4598","Private nonprofit, 4-year"
"147","oct8","California","San Diego","San Diego","University of San Diego",89,"San DiegoCalifornia","0.0147492908130712","Primarily online","9073","Private nonprofit, 4-year"
"148","oct8","California","San Francisco","San Francisco","University of San Francisco",9,"San FranciscoCalifornia","0.0130860564755901","Fully online","10713","Private nonprofit, 4-year"
"149","oct8","California","Los Angeles","Los Angeles","University of Southern California",459,"Los AngelesCalifornia","0.0276364222435322","Primarily online","47310","Private nonprofit, 4-year"
"150","oct8","California","San Joaquin","Stockton","University of the Pacific",10,"San JoaquinCalifornia","0.0272637335530632","Fully online","6493","Private nonprofit, 4-year"
"151","oct8","California","Santa Barbara","Santa Barbara","Westmont College",7,"Santa BarbaraCalifornia","0.02096981180249","Hybrid","1277","Private nonprofit, 4-year"
"152","oct8","California","Los Angeles","Whittier","Whittier College",4,"Los AngelesCalifornia","0.0276364222435322","Primarily online","1852","Private nonprofit, 4-year"
"153","oct8","Colorado","Alamosa","Alamosa","Adams State University",5,"AlamosaColorado","0.0157703443602538","Hybrid","3110","Public, 4-year"
"154","oct8","Colorado","Arapahoe","Littleton","Arapahoe Community College",5,"ArapahoeColorado","0.0153170167075344","Hybrid","11544","Public, 4-year"
"155","oct8","Colorado","Jefferson","Lakewood","Colorado Christian University",1,"JeffersonColorado","0.010674563075482","Primarily in person","7625","Private nonprofit, 4-year"
"156","oct8","Colorado","El Paso","Colorado Springs","Colorado College",14,"El PasoColorado","0.0103261646606136","Fully online","2144","Private nonprofit, 4-year"
"157","oct8","Colorado","Mesa","Grand Junction","Colorado Mesa University",68,"MesaColorado","0.00469489656961287","Primarily in person","9492","Public, 4-year"
"159","oct8","Colorado","Jefferson","Golden","Colorado School of Mines",41,"JeffersonColorado","0.010674563075482","Primarily in person","6325","Public, 4-year"
"162","oct8","Colorado","Denver","Denver","Community College of Denver",42,"DenverColorado","0.0195431587255968","Hybrid","7887","Public, 4-year"
"163","oct8","Colorado","La Plata","Durango","Fort Lewis College",20,"La PlataColorado","0.00490919763077854","Primarily in person","3319","Public, 4-year"
"164","oct8","Colorado","Adams","Westminster","Front Range Community College",10,"AdamsColorado","0.019602992534126","Primarily online","18880","Public, 2-year"
"166","oct8","Colorado","Denver","Denver","Metropolitan State University of Denver",27,"DenverColorado","0.0195431587255968","Hybrid","20192","Public, 4-year"
"167","oct8","Colorado","Morgan","Fort Morgan","Morgan Community College",2,"MorganColorado","0.0263520022017339","Hybrid","1228","Public, 2-year"
"168","oct8","Colorado","El Paso","Colorado Springs","Pikes Peak Community College",11,"El PasoColorado","0.0103261646606136","Primarily online","13204","Public, 4-year"
"169","oct8","Colorado","Pueblo","Pueblo","Pueblo Community College",3,"PuebloColorado","0.00747518168432052","Hybrid","6197","Public, 4-year"
"170","oct8","Colorado","Jefferson","Lakewood","Red Rocks Community College",0,"JeffersonColorado","0.010674563075482","Primarily online","7384","Public, 4-year"
"171","oct8","Colorado","Denver","Denver","Regis University",66,"DenverColorado","0.0195431587255968","Hybrid","7907","Private nonprofit, 4-year"
"172","oct8","Colorado","Las Animas","Trinidad","Trinidad State Junior College",1,"Las AnimasColorado","0.00172342478974218","Hybrid","1542","Public, 2-year"
"177","oct8","Colorado","Denver","Denver","University of Denver",151,"DenverColorado","0.0195431587255968","Primarily online","11952","Private nonprofit, 4-year"
"178","oct8","Colorado","Weld","Greeley","University of Northern Colorado",48,"WeldColorado","0.0154826621303453","Hybrid","13437","Public, 4-year"
"180","oct8","Connecticut","New Haven","New Haven","Albertus Magnus College",1,"New HavenConnecticut","0.0172551965061415","Primarily in person","1456","Private nonprofit, 4-year"
"181","oct8","Connecticut","Hartford","New Britain","Central Connecticut State University",87,"HartfordConnecticut","0.0172038307989055","Primarily online","11822","Public, 4-year"
"182","oct8","Connecticut","New London","New London","Connecticut College",11,"New LondonConnecticut","0.00914760601193035","Other","1844","Private nonprofit, 4-year"
"183","oct8","Connecticut","Windham","Windham","Eastern Connecticut State University",19,"WindhamConnecticut","0.00923943758455926","Primarily in person","5208","Public, 4-year"
"184","oct8","Connecticut","Fairfield","Fairfield","Fairfield University",119,"FairfieldConnecticut","0.0218502075621308","Primarily in person","5273","Private nonprofit, 4-year"
"187","oct8","Connecticut","New Haven","Hamden","Quinnipiac University",11,"New HavenConnecticut","0.0172551965061415","Primarily in person","10207","Private nonprofit, 4-year"
"188","oct8","Connecticut","Fairfield","Fairfield","Sacred Heart University",283,"FairfieldConnecticut","0.0218502075621308","Primarily in person","8958","Private nonprofit, 4-year"
"189","oct8","Connecticut","New Haven","New Haven","Southern Connecticut State University",20,"New HavenConnecticut","0.0172551965061415","Primarily online","10050","Public, 4-year"
"193","oct8","Connecticut","Fairfield","Bridgeport","University of Bridgeport",6,"FairfieldConnecticut","0.0218502075621308","Primarily in person","5485","Private nonprofit, 4-year"
"194","oct8","Connecticut","Tolland","Storrs","University of Connecticut",300,"TollandConnecticut","0.00984600686035788","Primarily online","27412","Public, 4-year"
"195","oct8","Connecticut","Hartford","West Hartford","University of Hartford",41,"HartfordConnecticut","0.0172038307989055","Primarily in person","6770","Private nonprofit, 4-year"
"196","oct8","Connecticut","New Haven","West Haven","University of New Haven",5,"New HavenConnecticut","0.0172551965061415","Primarily in person","6867","Private nonprofit, 4-year"
"197","oct8","Connecticut","Hartford","West Hartford","University of Saint Joseph",2,"HartfordConnecticut","0.0172038307989055","Hybrid","2465","Private nonprofit, 4-year"
"199","oct8","Connecticut","Fairfield","Danbury","Western Connecticut State University",23,"FairfieldConnecticut","0.0218502075621308","Primarily online","5642","Public, 4-year"
"200","oct8","Connecticut","New Haven","New Haven","Yale University",175,"New HavenConnecticut","0.0172551965061415","Primarily online","13433","Private nonprofit, 4-year"
"201","oct8","Delaware","Kent","Dover","Delaware State University",54,"KentDelaware","0.0175787948181828","Primarily online","4586","Public, 4-year"
"206","oct8","Delaware","New Castle","Newark","University of Delaware",388,"New CastleDelaware","0.0200732703001147","Primarily online","24120","Public, 4-year"
"209","oct8","Florida","Orange","Orlando","AdventHealth University",1,"OrangeFlorida","0.0297161294396937","Primarily online","1705","Private nonprofit, 4-year"
"211","oct8","Florida","Miami-Dade","Miami","Barry University",1,"Miami-DadeFlorida","0.0637772641280264","Hybrid","7186","Private nonprofit, 4-year"
"212","oct8","Florida","Volusia","Daytona Beach","Bethune-Cookman University",1,"VolusiaFlorida","0.0203060272843603","Primarily online","3773","Private nonprofit, 4-year"
"213","oct8","Florida","Broward","Fort Lauderdale","Broward College",49,"BrowardFlorida","0.0401346184768571","Primarily online","40784","Public, 4-year"
"214","oct8","Florida","Jackson","Marianna","Chipola College",3,"JacksonFlorida","0.0625673288231999","Primarily in person","2081","Public, 4-year"
"216","oct8","Florida","Marion","Ocala","College of Central Florida",35,"MarionFlorida","0.0274195180795396","Primarily online","6820","Public, 4-year"
"217","oct8","Florida","Volusia","Daytona Beach","Daytona State College",53,"VolusiaFlorida","0.0203060272843603","Primarily online","13737","Public, 4-year"
"218","oct8","Florida","Brevard","Cocoa ","Eastern Florida State College",11,"BrevardFlorida","0.0158952191407146","Primarily online","15820","Public, 4-year"
"219","oct8","Florida","Pinellas","Saint Petersburg","Eckerd College",3,"PinellasFlorida","0.0232790698628507","Primarily in person","2006","Private nonprofit, 4-year"
"224","oct8","Florida","Palm Beach","Boca Raton","Florida Atlantic University",180,"Palm BeachFlorida","0.0316561662780521","Primarily online","29772","Public, 4-year"
"226","oct8","Florida","Hillsborough","Temple Terrace","Florida College",30,"HillsboroughFlorida","0.0294191178069088","Primarily in person","508","Private nonprofit, 4-year"
"228","oct8","Florida","Lee","Fort Myers","Florida Gulf Coast University",175,"LeeFlorida","0.0271783351955742","Primarily in person","15031","Public, 4-year"
"230","oct8","Florida","Brevard","Melbourne","Florida Institute of Technology",25,"BrevardFlorida","0.0158952191407146","Primarily in person","6271","Private nonprofit, 4-year"
"231","oct8","Florida","Miami-Dade","Miami","Florida International University",153,"Miami-DadeFlorida","0.0637772641280264","Primarily online","57942","Public, 4-year"
"232","oct8","Florida","Miami-Dade","Miami Gardens","Florida Memorial University",2,"Miami-DadeFlorida","0.0637772641280264","Hybrid","1189","Private nonprofit, 4-year"
"234","oct8","Florida","Polk","Lakeland","Florida Polytechnic University",10,"PolkFlorida","0.0285425724050294","Primarily in person","1425","Public, 4-year"
"235","oct8","Florida","Lee","Fort Myers","Florida SouthWestern State College",9,"LeeFlorida","0.0271783351955742","Hybrid","16556","Public, 4-year"
"236","oct8","Florida","Polk","Lakeland","Florida Southern College",20,"PolkFlorida","0.0285425724050294","Fully online","3154","Private nonprofit, 4-year"
"237","oct8","Florida","Duval","Jacksonville","Florida State College, Jacksonville",23,"DuvalFlorida","0.0327672525854733","Primarily online","23413","Public, 4-year"
"238","oct8","Florida","Leon","Tallahassee","Florida State University",1656,"LeonFlorida","0.0373728634589314","Primarily online","41005","Public, 4-year"
"240","oct8","Florida","Bay","Panama City","Gulf Coast State College",39,"BayFlorida","0.0356429409576143","Hybrid","5644","Public, 4-year"
"244","oct8","Florida","Hillsborough","Tampa","Hillsborough Community College",12,"HillsboroughFlorida","0.0294191178069088","Primarily online","23183","Public, 2-year"
"245","oct8","Florida","St. Lucie","Fort Pierce","Indian River State College",29,"St. LucieFlorida","0.0251875588263067","Hybrid","16686","Public, 4-year"
"246","oct8","Florida","Duval","Jacksonville","Jacksonville University",35,"DuvalFlorida","0.0327672525854733","Primarily in person","4213","Private nonprofit, 4-year"
"252","oct8","Florida","Lake","Leesburg","Lake-Sumter State College",0,"LakeFlorida","0.0211648570759265","Primarily online","4812","Public, 4-year"
"254","oct8","Florida","Miami-Dade","Miami","Miami Dade College",2,"Miami-DadeFlorida","0.0637772641280264","Other","54973","Public, 4-year"
"255","oct8","Florida","Sarasota","Sarasota","New College of Florida",2,"SarasotaFlorida","0.019497765953032","Primarily online","837","Public, 4-year"
"257","oct8","Florida","Okaloosa","Niceville","Northwest Florida State College",15,"OkaloosaFlorida","0.0248222911862123","Primarily in person","5497","Public, 4-year"
"258","oct8","Florida","Broward","Fort Lauderdale","Nova Southeastern University",1,"BrowardFlorida","0.0401346184768571","Hybrid","20435","Private nonprofit, 4-year"
"259","oct8","Florida","Palm Beach","West Palm Beach","Palm Beach Atlantic University",35,"Palm BeachFlorida","0.0316561662780521","Primarily in person","3705","Private nonprofit, 4-year"
"260","oct8","Florida","Palm Beach","Lake Worth","Palm Beach State College",39,"Palm BeachFlorida","0.0316561662780521","Primarily online","31816","Public, 4-year"
"262","oct8","Florida","Escambia","Pensacola","Pensacola State College",32,"EscambiaFlorida","0.0394293720705211","Primarily online","9773","Public, 4-year"
"263","oct8","Florida","Polk","Winter Haven","Polk State College",31,"PolkFlorida","0.0285425724050294","Primarily online","10591","Public, 4-year"
"265","oct8","Florida","Orange","Winter Park","Rollins College",9,"OrangeFlorida","0.0297161294396937","Hybrid","3127","Private nonprofit, 4-year"
"266","oct8","Florida","Pasco","Saint Leo","Saint Leo University",25,"PascoFlorida","0.017274215764324","Hybrid","11808","Private nonprofit, 4-year"
"267","oct8","Florida","Alachua","Gainesville","Santa Fe College",25,"AlachuaFlorida","0.0321212594269318","Hybrid","14324","Public, 4-year"
"268","oct8","Florida","Seminole","Sanford","Seminole State College of Florida",10,"SeminoleFlorida","0.0197297308753651","Primarily online","18104","Public, 4-year"
"269","oct8","Florida","Highlands","Avon Park","South Florida State College",22,"HighlandsFlorida","0.0215117537963303","Other","2910","Public, 4-year"
"272","oct8","Florida","Putnam","Palatka","St. Johns River State College",15,"PutnamFlorida","0.0290522134700286","Hybrid","7503","Public, 4-year"
"273","oct8","Florida","Pinellas","St. Petersburg","St. Petersburg College",28,"PinellasFlorida","0.0232790698628507","Primarily online","29183","Public, 4-year"
"274","oct8","Florida","Miami-Dade","Miami Gardens","St. Thomas University",3,"Miami-DadeFlorida","0.0637772641280264","Primarily in person","4227","Private nonprofit, 4-year"
"275","oct8","Florida","Manatee","Bradenton","State College of Florida, Manatee-Sarasota",34,"ManateeFlorida","0.0294554535242143","Hybrid","10229","Public, 4-year"
"276","oct8","Florida","Volusia","DeLand","Stetson University",98,"VolusiaFlorida","0.0203060272843603","Hybrid","4341","Private nonprofit, 4-year"
"278","oct8","Florida","Leon","Tallahassee","Tallahassee Community College",157,"LeonFlorida","0.0373728634589314","Hybrid","11914","Public, 4-year"
"280","oct8","Florida","Orange","Orlando","University of Central Florida",1210,"OrangeFlorida","0.0297161294396937","Primarily in person","68475","Public, 4-year"
"281","oct8","Florida","Alachua","Gainesville","University of Florida",2908,"AlachuaFlorida","0.0321212594269318","Primarily online","52218","Public, 4-year"
"282","oct8","Florida","Miami-Dade","Miami","University of Miami",479,"Miami-DadeFlorida","0.0637772641280264","Primarily in person","17331","Private nonprofit, 4-year"
"283","oct8","Florida","Duval","Jacksonville","University of North Florida",114,"DuvalFlorida","0.0327672525854733","Hybrid","16776","Public, 4-year"
"284","oct8","Florida","Hillsborough","Tampa","University of South Florida",550,"HillsboroughFlorida","0.0294191178069088","Hybrid","43846","Public, 4-year"
"286","oct8","Florida","Pinellas","St. Petersburg","University of South Florida, St. Petersburg",16,"PinellasFlorida","0.0232790698628507","Hybrid","4727","Public, 4-year"
"287","oct8","Florida","Hillsborough","Tampa","University of Tampa",315,"HillsboroughFlorida","0.0294191178069088","Primarily in person","9333","Private nonprofit, 4-year"
"288","oct8","Florida","Escambia","Pensacola","University of West Florida",131,"EscambiaFlorida","0.0394293720705211","Hybrid","12847","Public, 4-year"
