55869 ,.Autauga County, Alabama
223234 ,.Baldwin County, Alabama
24686 ,.Barbour County, Alabama
22394 ,.Bibb County, Alabama
57826 ,.Blount County, Alabama
10101 ,.Bullock County, Alabama
19448 ,.Butler County, Alabama
113605 ,.Calhoun County, Alabama
33254 ,.Chambers County, Alabama
26196 ,.Cherokee County, Alabama
44428 ,.Chilton County, Alabama
12589 ,.Choctaw County, Alabama
23622 ,.Clarke County, Alabama
13235 ,.Clay County, Alabama
14910 ,.Cleburne County, Alabama
52342 ,.Coffee County, Alabama
55241 ,.Colbert County, Alabama
12067 ,.Conecuh County, Alabama
10663 ,.Coosa County, Alabama
37049 ,.Covington County, Alabama
13772 ,.Crenshaw County, Alabama
83768 ,.Cullman County, Alabama
49172 ,.Dale County, Alabama
37196 ,.Dallas County, Alabama
71513 ,.DeKalb County, Alabama
81209 ,.Elmore County, Alabama
36633 ,.Escambia County, Alabama
102268 ,.Etowah County, Alabama
16302 ,.Fayette County, Alabama
31362 ,.Franklin County, Alabama
26271 ,.Geneva County, Alabama
8111 ,.Greene County, Alabama
14651 ,.Hale County, Alabama
17205 ,.Henry County, Alabama
105882 ,.Houston County, Alabama
51626 ,.Jackson County, Alabama
658573 ,.Jefferson County, Alabama
13805 ,.Lamar County, Alabama
92729 ,.Lauderdale County, Alabama
32924 ,.Lawrence County, Alabama
164542 ,.Lee County, Alabama
98915 ,.Limestone County, Alabama
9726 ,.Lowndes County, Alabama
18068 ,.Macon County, Alabama
372909 ,.Madison County, Alabama
18863 ,.Marengo County, Alabama
29709 ,.Marion County, Alabama
96774 ,.Marshall County, Alabama
413210 ,.Mobile County, Alabama
20733 ,.Monroe County, Alabama
226486 ,.Montgomery County, Alabama
119679 ,.Morgan County, Alabama
8923 ,.Perry County, Alabama
19930 ,.Pickens County, Alabama
33114 ,.Pike County, Alabama
22722 ,.Randolph County, Alabama
57961 ,.Russell County, Alabama
89512 ,.St. Clair County, Alabama
217702 ,.Shelby County, Alabama
12427 ,.Sumter County, Alabama
79978 ,.Talladega County, Alabama
40367 ,.Tallapoosa County, Alabama
209355 ,.Tuscaloosa County, Alabama
63521 ,.Walker County, Alabama
16326 ,.Washington County, Alabama
10373 ,.Wilcox County, Alabama
23629 ,.Winston County, Alabama
3337 ,.Aleutians East Borough, Alaska
5634 ,.Aleutians West Census Area, Alaska
288000 ,.Anchorage Municipality, Alaska
18386 ,.Bethel Census Area, Alaska
836 ,.Bristol Bay Borough, Alaska
2097 ,.Denali Borough, Alaska
4916 ,.Dillingham Census Area, Alaska
96849 ,.Fairbanks North Star Borough, Alaska
2530 ,.Haines Borough, Alaska
2148 ,.Hoonah-Angoon Census Area, Alaska
31974 ,.Juneau City and Borough, Alaska
58708 ,.Kenai Peninsula Borough, Alaska
13901 ,.Ketchikan Gateway Borough, Alaska
12998 ,.Kodiak Island Borough, Alaska
8314 ,.Kusilvak Census Area, Alaska
1592 ,.Lake and Peninsula Borough, Alaska
108317 ,.Matanuska-Susitna Borough, Alaska
10004 ,.Nome Census Area, Alaska
9832 ,.North Slope Borough, Alaska
7621 ,.Northwest Arctic Borough, Alaska
3266 ,.Petersburg Borough, Alaska
6203 ,.Prince of Wales-Hyder Census Area, Alaska
8493 ,.Sitka City and Borough, Alaska
1183 ,.Skagway Municipality, Alaska
6893 ,.Southeast Fairbanks Census Area, Alaska
9202 ,.Valdez-Cordova Census Area, Alaska
2502 ,.Wrangell City and Borough, Alaska
579 ,.Yakutat City and Borough, Alaska
5230 ,.Yukon-Koyukuk Census Area, Alaska
71887 ,.Apache County, Arizona
125922 ,.Cochise County, Arizona
143476 ,.Coconino County, Arizona
54018 ,.Gila County, Arizona
38837 ,.Graham County, Arizona
9498 ,.Greenlee County, Arizona
21108 ,.La Paz County, Arizona
4485414 ,.Maricopa County, Arizona
